Owner,Name,Link,Privacy,Language,Last Updated
zain-khan-dev,HealthCareFullStack,https://github.com//zain-khan-dev/HealthCareFullStack,Public,TypeScript,"Jul 24, 2022"
zain-khan-dev,LinkedinScraper,https://github.com//zain-khan-dev/LinkedinScraper,Public,TypeScript,"Jul 14, 2022"
zain-khan-dev,DailyLeetCodeQuestions,https://github.com//zain-khan-dev/DailyLeetCodeQuestions,Public,Python,"Jul 10, 2022"
zain-khan-dev,csvtodb,https://github.com//zain-khan-dev/csvtodb,Public,Python,"Jul 3, 2022"
zain-khan-dev,DevQuestions,https://github.com//zain-khan-dev/DevQuestions,Public,TypeScript,"Jul 2, 2022"
zain-khan-dev,restaurantapi,https://github.com//zain-khan-dev/restaurantapi,Public,Python,"Jul 1, 2022"
zain-khan-dev,reminder-backend-heroku,https://github.com//zain-khan-dev/reminder-backend-heroku,Public,TypeScript,"Jul 1, 2022"
zain-khan-dev,ReminderFullStack,https://github.com//zain-khan-dev/ReminderFullStack,Public,TypeScript,"Jul 1, 2022"
zain-khan-dev,CompanySearch,https://github.com//zain-khan-dev/CompanySearch,Public,TypeScript,"Jun 30, 2022"
zain-khan-dev,aws-lambda-ec2,https://github.com//zain-khan-dev/aws-lambda-ec2,Public,Python,"Jun 30, 2022"
zain-khan-dev,Captor,https://github.com//zain-khan-dev/Captor,Public,Python,"Jun 27, 2022"
zain-khan-dev,zag,https://github.com//zain-khan-dev/zag,Public,Java,"Jun 19, 2022"
zain-khan-dev,ecommerce-client,https://github.com//zain-khan-dev/ecommerce-client,Public,TypeScript,"Jun 3, 2022"
zain-khan-dev,ecommerce-seller-client,https://github.com//zain-khan-dev/ecommerce-seller-client,Public,TypeScript,"Jun 2, 2022"
zain-khan-dev,MovieRec,https://github.com//zain-khan-dev/MovieRec,Public,TypeScript,"May 27, 2022"
zain-khan-dev,googlescholar,https://github.com//zain-khan-dev/googlescholar,Public,JavaScript,"May 15, 2022"
zain-khan-dev,rssfeeder-client,https://github.com//zain-khan-dev/rssfeeder-client,Public,JavaScript,"Apr 19, 2022"
zain-khan-dev,fastapi-sample-blog,https://github.com//zain-khan-dev/fastapi-sample-blog,Public,Python,"Mar 1, 2022"
zain-khan-dev,scikit-learn,https://github.com//zain-khan-dev/scikit-learn,Public,Python,"Jun 25, 2021"
zain-khan-dev,nvm,https://github.com//zain-khan-dev/nvm,Public,Shell,"Mar 19, 2021"
zain-khan-dev,AdventOfCode2020,https://github.com//zain-khan-dev/AdventOfCode2020,Public,C++,"Dec 9, 2020"
zain-khan-dev,todo-cli,https://github.com//zain-khan-dev/todo-cli,Public,Python,"Dec 8, 2020"
zain-khan-dev,MarkovTextGenerator,https://github.com//zain-khan-dev/MarkovTextGenerator,Public,Python,"Dec 8, 2020"
zain-khan-dev,KandR-Solutions,https://github.com//zain-khan-dev/KandR-Solutions,Public,C,"Dec 8, 2020"
zain-khan-dev,InterviewCake,https://github.com//zain-khan-dev/InterviewCake,Public,Text File,"Nov 8, 2020"
zain-khan-dev,SampleApp,https://github.com//zain-khan-dev/SampleApp,Public,Java,"Jun 21, 2020"
zain-khan-dev,TMDB,https://github.com//zain-khan-dev/TMDB,Public,Java,"Jun 13, 2020"
zain-khan-dev,grocery_app,https://github.com//zain-khan-dev/grocery_app,Public,Dart,"May 15, 2020"
zain-khan-dev,FlashChat,https://github.com//zain-khan-dev/FlashChat,Public,Text File,"May 11, 2020"
zain-khan-dev,missing-semester,https://github.com//zain-khan-dev/missing-semester,Public,Shell,"May 11, 2020"
